id,名称,单位,地址,值
1,设备运行状态,启动/停止,%DB600.DBD0,0.0
2,设备正转速度,m/min,%DB600.DBD12,0.0
3,设备实时速度,m/min,%DB600.DBD16,0.0
4,机头A涂布状态,,%DB600.DBD4,0.0
5,机头B涂布状态,,%DB600.DBD8,0.0
6,机头A_A料涂布压力实时值,Kpa,%DB600.DBD20,0.0
7,机头A_B料涂布压力实时值,Kpa,%DB600.DBD24,0.0
8,机头A_A料回流压力实时值,Kpa,%DB600.DBD28,0.0
9,机头A_B料回流压力实时值,Kpa,%DB600.DBD32,0.0
10,机头A_A料螺杆泵泵速设定值,rpm,%DB600.DBD36,0.0
11,机头A_B料螺杆泵泵速设定值,rpm,%DB600.DBD40,0.0
12,机头A_A料螺杆泵泵速实时值,rpm,%DB600.DBD44,0.0
13,机头A_B料螺杆泵泵速实时值,rpm,%DB600.DBD48,0.0
14,机头B_A料涂布压力实时值,Kpa,%DB600.DBD52,0.0
15,机头B_B料涂布压力实时值,Kpa,%DB600.DBD56,0.0
16,机头B_A料回流压力实时值,Kpa,%DB600.DBD60,0.0
17,机头B_B料回流压力实时值,Kpa,%DB600.DBD64,0.0
18,机头B_A料螺杆泵泵速设定值,rpm,%DB600.DBD68,0.0
19,机头B_B料螺杆泵泵速设定值,rpm,%DB600.DBD72,0.0
20,机头B_A料螺杆泵泵速实时值,rpm,%DB600.DBD76,0.0
21,机头B_B料螺杆泵泵速实时值,rpm,%DB600.DBD80,0.0
22,机头A_A浆料实时流量,kg/H,,0.0
23,机头A_B浆料实时流量,kg/H,,0.0
24,机头B_A浆料实时流量,kg/H,,0.0
25,机头B_B浆料实时流量,kg/H,,0.0
26,机头A_A浆料实时密度,kg/I,,0.0
27,机头A_B浆料实时密度,kg/I,,0.0
28,机头B_A浆料实时密度,kg/I,,0.0
29,机头B_B浆料实时密度,kg/I,,0.0
30,机头A_A料浆料温度,℃,%DB600.DBD92,0.0
31,机头A_B料浆料温度,℃,%DB600.DBD96,0.0
32,机头B_A料浆料温度,℃,%DB600.DBD100,0.0
33,机头B_B料浆料温度,℃,%DB600.DBD104,0.0
34,机头A左GAP设定值,μm,,0.0
35,机头A右GAP设定值,μm,,0.0
36,机头B左GAP设定值,μm,,0.0
37,机头B右GAP设定值,μm,,0.0
38,机头A左GAP实时值,μm,,0.0
39,机头A右GAP实时值,μm,,0.0
40,机头B左GAP实时值,μm,,0.0
41,机头B右GAP实时值,μm,,0.0
42,单面产能,m,%DB600.DBD84,0.0
43,双面产能,m,%DB600.DBD88,0.0
